Date, Demand placed by, Demand 
2018-10-29,Demand by supplier,20.43
2018-10-29,Demand by retailer,20.43
2018-10-29,Demand by customer,21.27
2018-10-30,Demand by supplier,14.45
2018-10-30,Demand by retailer,14.45
2018-10-30,Demand by customer,10.50
2018-10-31,Demand by supplier,11.68
2018-10-31,Demand by retailer,11.68
2018-10-31,Demand by customer,16.45
2018-11-01,Demand by supplier,13.43
2018-11-01,Demand by retailer,13.43
2018-11-01,Demand by customer,7.36
2018-11-02,Demand by supplier,9.18
2018-11-02,Demand by retailer,9.18
2018-11-02,Demand by customer,16.44
2018-11-03,Demand by supplier,10.36
2018-11-03,Demand by retailer,10.36
2018-11-03,Demand by customer,7.35
2018-11-04,Demand by supplier,8.25
2018-11-04,Demand by retailer,8.25
2018-11-04,Demand by customer,6.58
2018-11-05,Demand by supplier,7.08
2018-11-05,Demand by retailer,7.08
2018-11-05,Demand by customer,5.49
2018-11-06,Demand by supplier,5.97
2018-11-06,Demand by retailer,5.97
2018-11-06,Demand by customer,14.89
2018-11-07,Demand by supplier,12.22
2018-11-07,Demand by retailer,12.22
2018-11-07,Demand by customer,11.93
2018-11-08,Demand by supplier,12.01
2018-11-08,Demand by retailer,12.01
2018-11-08,Demand by customer,11.30
2018-11-09,Demand by supplier,15.24
2018-11-09,Demand by retailer,15.24
2018-11-09,Demand by customer,2.02
2018-11-10,Demand by supplier,14.00
2018-11-10,Demand by retailer,14.00
2018-11-10,Demand by customer,10.99
2018-11-11,Demand by supplier,11.89
2018-11-11,Demand by retailer,11.89
2018-11-11,Demand by customer,0.00
2018-11-12,Demand by supplier,11.30
2018-11-12,Demand by retailer,11.30
2018-11-12,Demand by customer,20.34
2018-11-13,Demand by supplier,17.62
2018-11-13,Demand by retailer,17.62
2018-11-13,Demand by customer,9.08
2018-11-14,Demand by supplier,11.64
2018-11-14,Demand by retailer,11.64
2018-11-14,Demand by customer,11.36
2018-11-15,Demand by supplier,11.45
2018-11-15,Demand by retailer,11.45
2018-11-15,Demand by customer,9.26
2018-11-16,Demand by supplier,9.92
2018-11-16,Demand by retailer,9.92
2018-11-16,Demand by customer,0.00
2018-11-17,Demand by supplier,2.98
2018-11-17,Demand by retailer,2.98
2018-11-17,Demand by customer,0.40
2018-11-18,Demand by supplier,4.38
2018-11-18,Demand by retailer,4.38
2018-11-18,Demand by customer,9.80
2018-11-19,Demand by supplier,10.88
2018-11-19,Demand by retailer,10.88
2018-11-19,Demand by customer,20.45
2018-11-20,Demand by supplier,17.58
2018-11-20,Demand by retailer,17.58
2018-11-20,Demand by customer,2.19
2018-11-21,Demand by supplier,10.44
2018-11-21,Demand by retailer,10.44
2018-11-21,Demand by customer,5.06
2018-11-22,Demand by supplier,13.00
2018-11-22,Demand by retailer,13.00
2018-11-22,Demand by customer,9.67
2018-11-23,Demand by supplier,13.03
2018-11-23,Demand by retailer,13.03
2018-11-23,Demand by customer,0.00
2018-11-24,Demand by supplier,14.25
2018-11-24,Demand by retailer,14.25
2018-11-24,Demand by customer,0.00
2018-11-25,Demand by supplier,12.24
2018-11-25,Demand by retailer,12.24
2018-11-25,Demand by customer,7.12
2018-11-26,Demand by supplier,9.26
2018-11-26,Demand by retailer,9.26
2018-11-26,Demand by customer,9.68
2018-11-27,Demand by supplier,9.56
2018-11-27,Demand by retailer,9.56
2018-11-27,Demand by customer,7.26
2018-11-28,Demand by supplier,7.95
2018-11-28,Demand by retailer,7.95
2018-11-28,Demand by customer,20.74
2018-11-29,Demand by supplier,16.90
2018-11-29,Demand by retailer,16.90
2018-11-29,Demand by customer,8.85
2018-11-30,Demand by supplier,11.27
2018-11-30,Demand by retailer,11.27
2018-11-30,Demand by customer,12.52
2018-12-01,Demand by supplier,12.15
2018-12-01,Demand by retailer,12.15
2018-12-01,Demand by customer,21.19
2018-12-02,Demand by supplier,18.47
2018-12-02,Demand by retailer,18.47
2018-12-02,Demand by customer,21.93
2018-12-03,Demand by supplier,20.89
2018-12-03,Demand by retailer,20.89
2018-12-03,Demand by customer,0.00
2018-12-04,Demand by supplier,6.27
2018-12-04,Demand by retailer,6.27
2018-12-04,Demand by customer,7.36
2018-12-05,Demand by supplier,7.03
2018-12-05,Demand by retailer,7.03
2018-12-05,Demand by customer,18.14
2018-12-06,Demand by supplier,14.81
2018-12-06,Demand by retailer,14.81
2018-12-06,Demand by customer,0.35
2018-12-07,Demand by supplier,4.69
2018-12-07,Demand by retailer,4.69
2018-12-07,Demand by customer,3.53
2018-12-08,Demand by supplier,3.88
2018-12-08,Demand by retailer,3.88
2018-12-08,Demand by customer,0.92
2018-12-09,Demand by supplier,7.29
2018-12-09,Demand by retailer,7.29
2018-12-09,Demand by customer,0.47
2018-12-10,Demand by supplier,13.59
2018-12-10,Demand by retailer,13.59
2018-12-10,Demand by customer,2.06
2018-12-11,Demand by supplier,11.66
2018-12-11,Demand by retailer,11.66
2018-12-11,Demand by customer,11.24
2018-12-12,Demand by supplier,14.56
2018-12-12,Demand by retailer,14.56
2018-12-12,Demand by customer,18.88
2018-12-13,Demand by supplier,17.59
2018-12-13,Demand by retailer,17.59
2018-12-13,Demand by customer,20.70
2018-12-14,Demand by supplier,19.76
2018-12-14,Demand by retailer,19.76
2018-12-14,Demand by customer,10.08
2018-12-15,Demand by supplier,12.99
2018-12-15,Demand by retailer,12.99
2018-12-15,Demand by customer,0.00
2018-12-16,Demand by supplier,3.90
2018-12-16,Demand by retailer,3.90
2018-12-16,Demand by customer,9.60
2018-12-17,Demand by supplier,7.89
2018-12-17,Demand by retailer,7.89
2018-12-17,Demand by customer,7.63
2018-12-18,Demand by supplier,7.71
2018-12-18,Demand by retailer,7.71
2018-12-18,Demand by customer,12.47
2018-12-19,Demand by supplier,11.04
2018-12-19,Demand by retailer,11.04
2018-12-19,Demand by customer,9.10
2018-12-20,Demand by supplier,9.68
2018-12-20,Demand by retailer,9.68
2018-12-20,Demand by customer,0.00
2018-12-21,Demand by supplier,5.42
2018-12-21,Demand by retailer,5.42
2018-12-21,Demand by customer,12.89
2018-12-22,Demand by supplier,10.65
2018-12-22,Demand by retailer,10.65
2018-12-22,Demand by customer,0.00
2018-12-23,Demand by supplier,15.72
2018-12-23,Demand by retailer,15.72
2018-12-23,Demand by customer,5.17
2018-12-24,Demand by supplier,16.18
2018-12-24,Demand by retailer,16.18
2018-12-24,Demand by customer,12.18
2018-12-25,Demand by supplier,15.01
2018-12-25,Demand by retailer,15.01
2018-12-25,Demand by customer,12.45
2018-12-26,Demand by supplier,13.22
2018-12-26,Demand by retailer,13.22
2018-12-26,Demand by customer,21.00
2018-12-27,Demand by supplier,18.67
2018-12-27,Demand by retailer,18.67
2018-12-27,Demand by customer,0.00
2018-12-28,Demand by supplier,5.60
2018-12-28,Demand by retailer,5.60
2018-12-28,Demand by customer,12.38
2018-12-29,Demand by supplier,10.35
2018-12-29,Demand by retailer,10.35
2018-12-29,Demand by customer,14.83
2018-12-30,Demand by supplier,13.48
2018-12-30,Demand by retailer,13.48
2018-12-30,Demand by customer,7.71
2018-12-31,Demand by supplier,9.44
2018-12-31,Demand by retailer,9.44
2018-12-31,Demand by customer,14.47
2019-01-01,Demand by supplier,12.96
2019-01-01,Demand by retailer,12.96
2019-01-01,Demand by customer,2.29
2019-01-02,Demand by supplier,5.49
2019-01-02,Demand by retailer,5.49
2019-01-02,Demand by customer,14.60
2019-01-03,Demand by supplier,11.87
2019-01-03,Demand by retailer,11.87
2019-01-03,Demand by customer,13.77
2019-01-04,Demand by supplier,13.20
2019-01-04,Demand by retailer,13.20
2019-01-04,Demand by customer,3.13
2019-01-05,Demand by supplier,9.59
2019-01-05,Demand by retailer,9.59
2019-01-05,Demand by customer,5.33
2019-01-06,Demand by supplier,11.49
2019-01-06,Demand by retailer,11.49
2019-01-06,Demand by customer,8.67
2019-01-07,Demand by supplier,12.04
2019-01-07,Demand by retailer,12.04
2019-01-07,Demand by customer,5.41
2019-01-08,Demand by supplier,9.67
2019-01-08,Demand by retailer,9.67
2019-01-08,Demand by customer,17.31
2019-01-09,Demand by supplier,15.02
2019-01-09,Demand by retailer,15.02
2019-01-09,Demand by customer,11.23
2019-01-10,Demand by supplier,12.36
2019-01-10,Demand by retailer,12.36
2019-01-10,Demand by customer,19.20
2019-01-11,Demand by supplier,17.15
2019-01-11,Demand by retailer,17.15
2019-01-11,Demand by customer,18.23
2019-01-12,Demand by supplier,17.90
2019-01-12,Demand by retailer,17.90
2019-01-12,Demand by customer,10.43
2019-01-13,Demand by supplier,12.67
2019-01-13,Demand by retailer,12.67
2019-01-13,Demand by customer,8.65
2019-01-14,Demand by supplier,9.85
2019-01-14,Demand by retailer,9.85
2019-01-14,Demand by customer,3.37
2019-01-15,Demand by supplier,5.32
2019-01-15,Demand by retailer,5.32
2019-01-15,Demand by customer,4.37
2019-01-16,Demand by supplier,4.65
2019-01-16,Demand by retailer,4.65
2019-01-16,Demand by customer,4.39
2019-01-17,Demand by supplier,5.65
2019-01-17,Demand by retailer,5.65
2019-01-17,Demand by customer,12.43
2019-01-18,Demand by supplier,10.40
2019-01-18,Demand by retailer,10.40
2019-01-18,Demand by customer,3.81
2019-01-19,Demand by supplier,10.23
2019-01-19,Demand by retailer,10.23
2019-01-19,Demand by customer,10.55
2019-01-20,Demand by supplier,14.52
2019-01-20,Demand by retailer,14.52
2019-01-20,Demand by customer,11.35
2019-01-21,Demand by supplier,15.52
2019-01-21,Demand by retailer,15.52
2019-01-21,Demand by customer,6.53
2019-01-22,Demand by supplier,16.67
2019-01-22,Demand by retailer,16.67
2019-01-22,Demand by customer,8.70
2019-01-23,Demand by supplier,14.28
2019-01-23,Demand by retailer,14.28
2019-01-23,Demand by customer,20.12
2019-01-24,Demand by supplier,18.37
2019-01-24,Demand by retailer,18.37
2019-01-24,Demand by customer,21.28
2019-01-25,Demand by supplier,11.04
2019-01-25,Demand by retailer,11.04
2019-01-25,Demand by customer,4.52
2019-01-26,Demand by supplier,6.48
2019-01-26,Demand by retailer,6.48
2019-01-26,Demand by customer,8.64
2019-01-27,Demand by supplier,7.99
2019-01-27,Demand by retailer,7.99
2019-01-27,Demand by customer,7.40
2019-01-28,Demand by supplier,7.57
2019-01-28,Demand by retailer,7.57
2019-01-28,Demand by customer,8.07
2019-01-29,Demand by supplier,7.92
2019-01-29,Demand by retailer,7.92
2019-01-29,Demand by customer,20.75
2019-01-30,Demand by supplier,16.90
2019-01-30,Demand by retailer,16.90
2019-01-30,Demand by customer,14.81
2019-01-31,Demand by supplier,15.43
2019-01-31,Demand by retailer,15.43
2019-01-31,Demand by customer,18.82
2019-02-01,Demand by supplier,17.80
2019-02-01,Demand by retailer,17.80
2019-02-01,Demand by customer,22.44
2019-02-02,Demand by supplier,21.05
2019-02-02,Demand by retailer,21.05
2019-02-02,Demand by customer,6.92
2019-02-03,Demand by supplier,11.16
2019-02-03,Demand by retailer,11.16
2019-02-03,Demand by customer,8.69
2019-02-04,Demand by supplier,9.43
2019-02-04,Demand by retailer,9.43
2019-02-04,Demand by customer,10.28
2019-02-05,Demand by supplier,10.03
2019-02-05,Demand by retailer,10.03
2019-02-05,Demand by customer,17.18
2019-02-06,Demand by supplier,9.78
2019-02-06,Demand by retailer,9.78
2019-02-06,Demand by customer,9.36
2019-02-07,Demand by supplier,9.49
2019-02-07,Demand by retailer,9.49
2019-02-07,Demand by customer,14.52
2019-02-08,Demand by supplier,13.01
2019-02-08,Demand by retailer,13.01
2019-02-08,Demand by customer,18.18
2019-02-09,Demand by supplier,16.63
2019-02-09,Demand by retailer,16.63
2019-02-09,Demand by customer,18.14
2019-02-10,Demand by supplier,17.69
2019-02-10,Demand by retailer,17.69
2019-02-10,Demand by customer,13.13
2019-02-11,Demand by supplier,14.50
2019-02-11,Demand by retailer,14.50
2019-02-11,Demand by customer,4.48
2019-02-12,Demand by supplier,7.48
2019-02-12,Demand by retailer,7.48
2019-02-12,Demand by customer,0.00
2019-02-13,Demand by supplier,2.25
2019-02-13,Demand by retailer,2.25
2019-02-13,Demand by customer,17.85
2019-02-14,Demand by supplier,13.17
2019-02-14,Demand by retailer,13.17
2019-02-14,Demand by customer,13.20
2019-02-15,Demand by supplier,13.19
2019-02-15,Demand by retailer,13.19
2019-02-15,Demand by customer,3.44
2019-02-16,Demand by supplier,6.36
2019-02-16,Demand by retailer,6.36
2019-02-16,Demand by customer,6.46
2019-02-17,Demand by supplier,6.64
2019-02-17,Demand by retailer,6.64
2019-02-17,Demand by customer,6.86
2019-02-18,Demand by supplier,10.77
2019-02-18,Demand by retailer,10.77
2019-02-18,Demand by customer,0.00
2019-02-19,Demand by supplier,13.98
2019-02-19,Demand by retailer,13.98
2019-02-19,Demand by customer,11.76
2019-02-20,Demand by supplier,15.97
2019-02-20,Demand by retailer,15.97
2019-02-20,Demand by customer,4.49
2019-02-21,Demand by supplier,15.48
2019-02-21,Demand by retailer,15.48
2019-02-21,Demand by customer,7.94
2019-02-22,Demand by supplier,10.39
2019-02-22,Demand by retailer,10.39
2019-02-22,Demand by customer,15.18
2019-02-23,Demand by supplier,13.74
2019-02-23,Demand by retailer,13.74
2019-02-23,Demand by customer,9.33
2019-02-24,Demand by supplier,10.65
2019-02-24,Demand by retailer,10.65
2019-02-24,Demand by customer,13.80
2019-02-25,Demand by supplier,12.86
2019-02-25,Demand by retailer,12.86
2019-02-25,Demand by customer,12.96
2019-02-26,Demand by supplier,12.93
2019-02-26,Demand by retailer,12.93
2019-02-26,Demand by customer,10.22
2019-02-27,Demand by supplier,11.03
2019-02-27,Demand by retailer,11.03
2019-02-27,Demand by customer,10.34
2019-02-28,Demand by supplier,10.55
2019-02-28,Demand by retailer,10.55
2019-02-28,Demand by customer,23.03
2019-03-01,Demand by supplier,19.29
2019-03-01,Demand by retailer,19.29
2019-03-01,Demand by customer,8.81
2019-03-02,Demand by supplier,11.95
2019-03-02,Demand by retailer,11.95
2019-03-02,Demand by customer,21.39
2019-03-03,Demand by supplier,18.55
2019-03-03,Demand by retailer,18.55
2019-03-03,Demand by customer,3.60
2019-03-04,Demand by supplier,8.09
2019-03-04,Demand by retailer,8.09
2019-03-04,Demand by customer,15.11
2019-03-05,Demand by supplier,13.00
2019-03-05,Demand by retailer,13.00
2019-03-05,Demand by customer,11.20
2019-03-06,Demand by supplier,11.74
2019-03-06,Demand by retailer,11.74
2019-03-06,Demand by customer,4.90
2019-03-07,Demand by supplier,6.95
2019-03-07,Demand by retailer,6.95
2019-03-07,Demand by customer,0.00
2019-03-08,Demand by supplier,2.08
2019-03-08,Demand by retailer,2.08
2019-03-08,Demand by customer,21.16
2019-03-09,Demand by supplier,15.44
2019-03-09,Demand by retailer,15.44
2019-03-09,Demand by customer,1.91
2019-03-10,Demand by supplier,6.38
2019-03-10,Demand by retailer,6.38
2019-03-10,Demand by customer,3.26
2019-03-11,Demand by supplier,12.78
2019-03-11,Demand by retailer,12.78
2019-03-11,Demand by customer,10.91
2019-03-12,Demand by supplier,12.87
2019-03-12,Demand by retailer,12.87
2019-03-12,Demand by customer,10.40
2019-03-13,Demand by supplier,12.10
2019-03-13,Demand by retailer,12.10
2019-03-13,Demand by customer,11.95
2019-03-14,Demand by supplier,13.93
2019-03-14,Demand by retailer,13.93
2019-03-14,Demand by customer,8.22
2019-03-15,Demand by supplier,11.69
2019-03-15,Demand by retailer,11.69
2019-03-15,Demand by customer,0.00
2019-03-16,Demand by supplier,11.51
2019-03-16,Demand by retailer,11.51
2019-03-16,Demand by customer,16.07
2019-03-17,Demand by supplier,14.70
2019-03-17,Demand by retailer,14.70
2019-03-17,Demand by customer,3.67
2019-03-18,Demand by supplier,6.98
2019-03-18,Demand by retailer,6.98
2019-03-18,Demand by customer,11.56
2019-03-19,Demand by supplier,10.19
2019-03-19,Demand by retailer,10.19
2019-03-19,Demand by customer,14.02
2019-03-20,Demand by supplier,12.87
2019-03-20,Demand by retailer,12.87
2019-03-20,Demand by customer,18.28
2019-03-21,Demand by supplier,16.65
2019-03-21,Demand by retailer,16.65
2019-03-21,Demand by customer,8.47
2019-03-22,Demand by supplier,10.93
2019-03-22,Demand by retailer,10.93
2019-03-22,Demand by customer,7.86
2019-03-23,Demand by supplier,8.78
2019-03-23,Demand by retailer,8.78
2019-03-23,Demand by customer,8.37
2019-03-24,Demand by supplier,8.49
2019-03-24,Demand by retailer,8.49
2019-03-24,Demand by customer,0.00
2019-03-25,Demand by supplier,8.15
2019-03-25,Demand by retailer,8.15
2019-03-25,Demand by customer,4.72
2019-03-26,Demand by supplier,10.74
2019-03-26,Demand by retailer,10.74
2019-03-26,Demand by customer,2.97
2019-03-27,Demand by supplier,10.43
2019-03-27,Demand by retailer,10.43
2019-03-27,Demand by customer,1.95
2019-03-28,Demand by supplier,11.33
2019-03-28,Demand by retailer,11.33
2019-03-28,Demand by customer,11.17
2019-03-29,Demand by supplier,11.22
2019-03-29,Demand by retailer,11.22
2019-03-29,Demand by customer,7.82
2019-03-30,Demand by supplier,10.80
2019-03-30,Demand by retailer,10.80
2019-03-30,Demand by customer,21.17
2019-03-31,Demand by supplier,18.06
2019-03-31,Demand by retailer,18.06
2019-03-31,Demand by customer,20.42
2019-04-01,Demand by supplier,19.71
2019-04-01,Demand by retailer,19.71
2019-04-01,Demand by customer,0.00
2019-04-02,Demand by supplier,5.91
2019-04-02,Demand by retailer,5.91
2019-04-02,Demand by customer,10.86
2019-04-03,Demand by supplier,9.37
2019-04-03,Demand by retailer,9.37
2019-04-03,Demand by customer,2.99
2019-04-04,Demand by supplier,4.93
2019-04-04,Demand by retailer,4.93
2019-04-04,Demand by customer,13.89
2019-04-05,Demand by supplier,11.20
2019-04-05,Demand by retailer,11.20
2019-04-05,Demand by customer,11.11
2019-04-06,Demand by supplier,11.14
2019-04-06,Demand by retailer,11.14
2019-04-06,Demand by customer,16.51
2019-04-07,Demand by supplier,14.90
2019-04-07,Demand by retailer,14.90
2019-04-07,Demand by customer,12.18
2019-04-08,Demand by supplier,12.99
2019-04-08,Demand by retailer,12.99
2019-04-08,Demand by customer,15.33
2019-04-09,Demand by supplier,14.63
2019-04-09,Demand by retailer,14.63
2019-04-09,Demand by customer,7.91
2019-04-10,Demand by supplier,9.93
2019-04-10,Demand by retailer,9.93
2019-04-10,Demand by customer,0.00
2019-04-11,Demand by supplier,9.87
2019-04-11,Demand by retailer,9.87
2019-04-11,Demand by customer,1.70
2019-04-12,Demand by supplier,12.05
2019-04-12,Demand by retailer,12.05
2019-04-12,Demand by customer,4.02
2019-04-13,Demand by supplier,7.76
2019-04-13,Demand by retailer,7.76
2019-04-13,Demand by customer,6.57
2019-04-14,Demand by supplier,7.96
2019-04-14,Demand by retailer,7.96
2019-04-14,Demand by customer,2.91
2019-04-15,Demand by supplier,7.84
2019-04-15,Demand by retailer,7.84
2019-04-15,Demand by customer,21.43
2019-04-16,Demand by supplier,17.35
2019-04-16,Demand by retailer,17.35
2019-04-16,Demand by customer,8.82
2019-04-17,Demand by supplier,11.38
2019-04-17,Demand by retailer,11.38
2019-04-17,Demand by customer,19.07
2019-04-18,Demand by supplier,16.77
2019-04-18,Demand by retailer,16.77
2019-04-18,Demand by customer,7.63
2019-04-19,Demand by supplier,10.37
2019-04-19,Demand by retailer,10.37
2019-04-19,Demand by customer,21.58
2019-04-20,Demand by supplier,18.22
2019-04-20,Demand by retailer,18.22
2019-04-20,Demand by customer,1.60
2019-04-21,Demand by supplier,6.58
2019-04-21,Demand by retailer,6.58
2019-04-21,Demand by customer,14.20
2019-04-22,Demand by supplier,11.91
2019-04-22,Demand by retailer,11.91
2019-04-22,Demand by customer,0.69
2019-04-23,Demand by supplier,4.06
2019-04-23,Demand by retailer,4.06
2019-04-23,Demand by customer,13.09
2019-04-24,Demand by supplier,10.38
2019-04-24,Demand by retailer,10.38
2019-04-24,Demand by customer,21.11
2019-04-25,Demand by supplier,17.89
2019-04-25,Demand by retailer,17.89
2019-04-25,Demand by customer,0.00
2019-04-26,Demand by supplier,5.37
2019-04-26,Demand by retailer,5.37
2019-04-26,Demand by customer,3.90
2019-04-27,Demand by supplier,9.76
2019-04-27,Demand by retailer,9.76
2019-04-27,Demand by customer,11.72
2019-04-28,Demand by supplier,11.62
2019-04-28,Demand by retailer,11.62
2019-04-28,Demand by customer,8.70
2019-04-29,Demand by supplier,12.88
