Date, Demand placed by, Demand 
2018-10-07,Demand by retailer,4.07
2018-10-07,Demand by customer,5.00
2018-10-08,Demand by supplier,6.20
2018-10-08,Demand by retailer,7.49
2018-10-08,Demand by customer,13.60
2018-10-09,Demand by supplier,7.01
2018-10-09,Demand by retailer,11.77
2018-10-09,Demand by customer,11.80
2018-10-10,Demand by supplier,10.29
2018-10-10,Demand by retailer,11.79
2018-10-10,Demand by customer,6.52
2018-10-11,Demand by supplier,11.29
2018-10-11,Demand by retailer,9.08
2018-10-11,Demand by customer,13.54
2018-10-12,Demand by supplier,9.67
2018-10-12,Demand by retailer,12.20
2018-10-12,Demand by customer,16.57
2018-10-13,Demand by supplier,13.65
2018-10-13,Demand by retailer,14.57
2018-10-13,Demand by customer,5.27
2018-10-14,Demand by supplier,14.55
2018-10-14,Demand by retailer,8.13
2018-10-14,Demand by customer,6.28
2018-10-15,Demand by supplier,9.97
2018-10-15,Demand by retailer,6.84
2018-10-15,Demand by customer,3.91
2018-10-16,Demand by supplier,7.68
2018-10-16,Demand by retailer,6.08
2018-10-16,Demand by customer,1.91
2018-10-17,Demand by supplier,6.47
2018-10-17,Demand by retailer,10.25
2018-10-17,Demand by customer,15.58
2018-10-18,Demand by supplier,9.05
2018-10-18,Demand by retailer,13.98
2018-10-18,Demand by customer,13.57
2018-10-19,Demand by supplier,12.49
2018-10-19,Demand by retailer,13.69
2018-10-19,Demand by customer,12.37
2018-10-20,Demand by supplier,13.31
2018-10-20,Demand by retailer,12.77
2018-10-20,Demand by customer,1.80
2018-10-21,Demand by supplier,12.90
2018-10-21,Demand by retailer,5.09
2018-10-21,Demand by customer,2.68
2018-10-22,Demand by supplier,7.34
2018-10-22,Demand by retailer,3.40
2018-10-22,Demand by customer,9.53
2018-10-23,Demand by supplier,4.48
2018-10-23,Demand by retailer,8.12
2018-10-23,Demand by customer,7.11
2018-10-24,Demand by supplier,6.95
2018-10-24,Demand by retailer,11.12
2018-10-24,Demand by customer,10.84
2018-10-25,Demand by supplier,9.82
2018-10-25,Demand by retailer,11.88
2018-10-25,Demand by customer,5.11
2018-10-26,Demand by supplier,11.22
2018-10-26,Demand by retailer,12.08
2018-10-26,Demand by customer,14.58
2018-10-27,Demand by supplier,11.79
2018-10-27,Demand by retailer,13.83
2018-10-27,Demand by customer,22.60
2018-10-28,Demand by supplier,12.75
2018-10-28,Demand by retailer,13.09
2018-10-28,Demand by customer,20.83
2018-10-29,Demand by supplier,12.19
2018-10-29,Demand by retailer,11.90
2018-10-29,Demand by customer,21.27
2018-10-30,Demand by supplier,11.74
2018-10-30,Demand by retailer,11.83
2018-10-30,Demand by customer,10.50
2018-10-31,Demand by supplier,12.19
2018-10-31,Demand by retailer,10.93
2018-10-31,Demand by customer,16.45
2018-11-01,Demand by supplier,11.26
2018-11-01,Demand by retailer,12.71
2018-11-01,Demand by customer,7.36
2018-11-02,Demand by supplier,12.24
2018-11-02,Demand by retailer,8.97
2018-11-02,Demand by customer,16.44
2018-11-03,Demand by supplier,9.88
2018-11-03,Demand by retailer,12.29
2018-11-03,Demand by customer,7.35
2018-11-04,Demand by supplier,11.53
2018-11-04,Demand by retailer,8.83
2018-11-04,Demand by customer,6.58
2018-11-05,Demand by supplier,9.57
2018-11-05,Demand by retailer,7.25
2018-11-05,Demand by customer,5.49
2018-11-06,Demand by supplier,7.87
2018-11-06,Demand by retailer,6.02
2018-11-06,Demand by customer,14.89
2018-11-07,Demand by supplier,6.49
2018-11-07,Demand by retailer,12.23
2018-11-07,Demand by customer,11.93
2018-11-08,Demand by supplier,10.48
2018-11-08,Demand by retailer,12.02
2018-11-08,Demand by customer,11.30
2018-11-09,Demand by supplier,11.52
2018-11-09,Demand by retailer,11.52
2018-11-09,Demand by customer,2.02
2018-11-10,Demand by supplier,11.48
2018-11-10,Demand by retailer,4.87
2018-11-10,Demand by customer,10.99
2018-11-11,Demand by supplier,6.77
2018-11-11,Demand by retailer,9.52
2018-11-11,Demand by customer,0.00
2018-11-12,Demand by supplier,10.95
2018-11-12,Demand by retailer,11.23
2018-11-12,Demand by customer,20.34
2018-11-13,Demand by supplier,11.11
2018-11-13,Demand by retailer,16.80
2018-11-13,Demand by customer,9.08
2018-11-14,Demand by supplier,15.13
2018-11-14,Demand by retailer,11.39
2018-11-14,Demand by customer,11.36
2018-11-15,Demand by supplier,11.16
2018-11-15,Demand by retailer,12.69
2018-11-15,Demand by customer,9.26
2018-11-16,Demand by supplier,10.99
2018-11-16,Demand by retailer,10.61
2018-11-16,Demand by customer,0.00
2018-11-17,Demand by supplier,10.68
2018-11-17,Demand by retailer,3.18
2018-11-17,Demand by customer,0.40
2018-11-18,Demand by supplier,5.35
2018-11-18,Demand by retailer,4.41
2018-11-18,Demand by customer,9.80
2018-11-19,Demand by supplier,4.62
2018-11-19,Demand by retailer,8.18
2018-11-19,Demand by customer,20.45
2018-11-20,Demand by supplier,7.05
2018-11-20,Demand by retailer,16.77
2018-11-20,Demand by customer,2.19
2018-11-21,Demand by supplier,13.89
2018-11-21,Demand by retailer,6.57
2018-11-21,Demand by customer,5.06
2018-11-22,Demand by supplier,8.69
2018-11-22,Demand by retailer,8.16
2018-11-22,Demand by customer,9.67
2018-11-23,Demand by supplier,8.26
2018-11-23,Demand by retailer,9.22
2018-11-23,Demand by customer,0.00
2018-11-24,Demand by supplier,10.85
2018-11-24,Demand by retailer,9.58
2018-11-24,Demand by customer,0.00
2018-11-25,Demand by supplier,13.56
2018-11-25,Demand by retailer,10.28
2018-11-25,Demand by customer,7.12
2018-11-26,Demand by supplier,11.22
2018-11-26,Demand by retailer,8.81
2018-11-26,Demand by customer,9.68
2018-11-27,Demand by supplier,9.48
2018-11-27,Demand by retailer,9.42
2018-11-27,Demand by customer,7.26
2018-11-28,Demand by supplier,9.39
2018-11-28,Demand by retailer,9.87
2018-11-28,Demand by customer,20.74
2018-11-29,Demand by supplier,9.68
2018-11-29,Demand by retailer,17.48
2018-11-29,Demand by customer,8.85
2018-11-30,Demand by supplier,15.19
2018-11-30,Demand by retailer,11.44
2018-11-30,Demand by customer,12.52
2018-12-01,Demand by supplier,12.53
2018-12-01,Demand by retailer,11.29
2018-12-01,Demand by customer,21.19
2018-12-02,Demand by supplier,10.30
2018-12-02,Demand by retailer,10.89
2018-12-02,Demand by customer,21.93
2018-12-03,Demand by supplier,9.83
2018-12-03,Demand by retailer,10.70
2018-12-03,Demand by customer,0.00
2018-12-04,Demand by supplier,10.40
2018-12-04,Demand by retailer,3.21
2018-12-04,Demand by customer,7.36
2018-12-05,Demand by supplier,5.30
2018-12-05,Demand by retailer,6.11
2018-12-05,Demand by customer,18.14
2018-12-06,Demand by supplier,5.80
2018-12-06,Demand by retailer,14.53
2018-12-06,Demand by customer,0.35
2018-12-07,Demand by supplier,11.92
2018-12-07,Demand by retailer,4.76
2018-12-07,Demand by customer,3.53
2018-12-08,Demand by supplier,6.84
2018-12-08,Demand by retailer,8.92
2018-12-08,Demand by customer,0.92
2018-12-09,Demand by supplier,8.24
2018-12-09,Demand by retailer,8.86
2018-12-09,Demand by customer,0.47
2018-12-10,Demand by supplier,8.66
2018-12-10,Demand by retailer,9.33
2018-12-10,Demand by customer,2.06
2018-12-11,Demand by supplier,11.63
2018-12-11,Demand by retailer,11.92
2018-12-11,Demand by customer,11.24
2018-12-12,Demand by supplier,11.81
2018-12-12,Demand by retailer,11.44
2018-12-12,Demand by customer,18.88
2018-12-13,Demand by supplier,13.54
2018-12-13,Demand by retailer,16.26
2018-12-13,Demand by customer,20.70
2018-12-14,Demand by supplier,10.16
2018-12-14,Demand by retailer,16.44
2018-12-14,Demand by customer,10.08
2018-12-15,Demand by supplier,11.23
2018-12-15,Demand by retailer,14.50
2018-12-15,Demand by customer,0.00
2018-12-16,Demand by supplier,11.64
2018-12-16,Demand by retailer,6.23
2018-12-16,Demand by customer,9.60
2018-12-17,Demand by supplier,7.79
2018-12-17,Demand by retailer,8.59
2018-12-17,Demand by customer,7.63
2018-12-18,Demand by supplier,8.30
2018-12-18,Demand by retailer,7.92
2018-12-18,Demand by customer,12.47
2018-12-19,Demand by supplier,7.98
2018-12-19,Demand by retailer,11.10
2018-12-19,Demand by customer,9.10
2018-12-20,Demand by supplier,10.13
2018-12-20,Demand by retailer,9.70
2018-12-20,Demand by customer,0.00
2018-12-21,Demand by supplier,9.79
2018-12-21,Demand by retailer,3.27
2018-12-21,Demand by customer,12.89
2018-12-22,Demand by supplier,5.16
2018-12-22,Demand by retailer,10.01
2018-12-22,Demand by customer,0.00
2018-12-23,Demand by supplier,8.51
2018-12-23,Demand by retailer,9.14
2018-12-23,Demand by customer,5.17
2018-12-24,Demand by supplier,8.91
2018-12-24,Demand by retailer,11.44
2018-12-24,Demand by customer,12.18
2018-12-25,Demand by supplier,10.66
2018-12-25,Demand by retailer,12.42
2018-12-25,Demand by customer,12.45
2018-12-26,Demand by supplier,11.44
2018-12-26,Demand by retailer,12.88
2018-12-26,Demand by customer,21.00
2018-12-27,Demand by supplier,13.95
2018-12-27,Demand by retailer,15.58
2018-12-27,Demand by customer,0.00
2018-12-28,Demand by supplier,10.44
2018-12-28,Demand by retailer,9.35
2018-12-28,Demand by customer,12.38
2018-12-29,Demand by supplier,9.64
2018-12-29,Demand by retailer,11.47
2018-12-29,Demand by customer,14.83
2018-12-30,Demand by supplier,10.89
2018-12-30,Demand by retailer,13.82
2018-12-30,Demand by customer,7.71
2018-12-31,Demand by supplier,12.94
2018-12-31,Demand by retailer,9.54
2018-12-31,Demand by customer,14.47
2019-01-01,Demand by supplier,10.52
2019-01-01,Demand by retailer,12.99
2019-01-01,Demand by customer,2.29
2019-01-02,Demand by supplier,11.51
2019-01-02,Demand by retailer,6.23
2019-01-02,Demand by customer,14.60
2019-01-03,Demand by supplier,7.76
2019-01-03,Demand by retailer,12.09
2019-01-03,Demand by customer,13.77
2019-01-04,Demand by supplier,10.77
2019-01-04,Demand by retailer,13.26
2019-01-04,Demand by customer,3.13
2019-01-05,Demand by supplier,12.51
2019-01-05,Demand by retailer,6.17
2019-01-05,Demand by customer,5.33
2019-01-06,Demand by supplier,8.02
2019-01-06,Demand by retailer,5.58
2019-01-06,Demand by customer,8.67
2019-01-07,Demand by supplier,6.26
2019-01-07,Demand by retailer,7.75
2019-01-07,Demand by customer,5.41
2019-01-08,Demand by supplier,7.25
2019-01-08,Demand by retailer,7.51
2019-01-08,Demand by customer,17.31
2019-01-09,Demand by supplier,7.38
2019-01-09,Demand by retailer,14.37
2019-01-09,Demand by customer,11.23
2019-01-10,Demand by supplier,12.28
2019-01-10,Demand by retailer,12.17
2019-01-10,Demand by customer,19.20
2019-01-11,Demand by supplier,12.19
2019-01-11,Demand by retailer,17.09
2019-01-11,Demand by customer,18.23
2019-01-12,Demand by supplier,9.77
2019-01-12,Demand by retailer,15.89
2019-01-12,Demand by customer,10.43
2019-01-13,Demand by supplier,8.85
2019-01-13,Demand by retailer,16.15
2019-01-13,Demand by customer,8.65
2019-01-14,Demand by supplier,13.80
2019-01-14,Demand by retailer,12.81
2019-01-14,Demand by customer,3.37
2019-01-15,Demand by supplier,12.66
2019-01-15,Demand by retailer,6.64
2019-01-15,Demand by customer,4.37
2019-01-16,Demand by supplier,8.39
2019-01-16,Demand by retailer,6.70
2019-01-16,Demand by customer,4.39
2019-01-17,Demand by supplier,7.16
2019-01-17,Demand by retailer,8.88
2019-01-17,Demand by customer,12.43
2019-01-18,Demand by supplier,8.32
2019-01-18,Demand by retailer,11.37
2019-01-18,Demand by customer,3.81
2019-01-19,Demand by supplier,10.43
2019-01-19,Demand by retailer,6.08
2019-01-19,Demand by customer,10.55
2019-01-20,Demand by supplier,7.33
2019-01-20,Demand by retailer,9.21
2019-01-20,Demand by customer,11.35
2019-01-21,Demand by supplier,8.61
2019-01-21,Demand by retailer,10.71
2019-01-21,Demand by customer,6.53
2019-01-22,Demand by supplier,10.05
2019-01-22,Demand by retailer,7.78
2019-01-22,Demand by customer,8.70
2019-01-23,Demand by supplier,8.42
2019-01-23,Demand by retailer,9.63
2019-01-23,Demand by customer,20.12
2019-01-24,Demand by supplier,9.23
2019-01-24,Demand by retailer,16.97
2019-01-24,Demand by customer,21.28
2019-01-25,Demand by supplier,15.40
2019-01-25,Demand by retailer,14.05
2019-01-25,Demand by customer,4.52
2019-01-26,Demand by supplier,11.90
2019-01-26,Demand by retailer,10.18
2019-01-26,Demand by customer,8.64
2019-01-27,Demand by supplier,9.43
2019-01-27,Demand by retailer,10.34
2019-01-27,Demand by customer,7.40
2019-01-28,Demand by supplier,9.26
2019-01-28,Demand by retailer,9.05
2019-01-28,Demand by customer,8.07
2019-01-29,Demand by supplier,9.08
2019-01-29,Demand by retailer,8.36
2019-01-29,Demand by customer,20.75
2019-01-30,Demand by supplier,8.54
2019-01-30,Demand by retailer,17.03
2019-01-30,Demand by customer,14.81
2019-01-31,Demand by supplier,14.53
2019-01-31,Demand by retailer,14.75
2019-01-31,Demand by customer,18.82
2019-02-01,Demand by supplier,12.46
2019-02-01,Demand by retailer,12.55
2019-02-01,Demand by customer,22.44
2019-02-02,Demand by supplier,10.08
2019-02-02,Demand by retailer,12.66
2019-02-02,Demand by customer,6.92
2019-02-03,Demand by supplier,8.99
2019-02-03,Demand by retailer,11.52
2019-02-03,Demand by customer,8.69
2019-02-04,Demand by supplier,10.74
2019-02-04,Demand by retailer,9.54
2019-02-04,Demand by customer,10.28
2019-02-05,Demand by supplier,9.87
2019-02-05,Demand by retailer,10.06
2019-02-05,Demand by customer,17.18
2019-02-06,Demand by supplier,9.97
2019-02-06,Demand by retailer,15.05
2019-02-06,Demand by customer,9.36
2019-02-07,Demand by supplier,13.46
2019-02-07,Demand by retailer,11.15
2019-02-07,Demand by customer,14.52
2019-02-08,Demand by supplier,11.54
2019-02-08,Demand by retailer,11.46
2019-02-08,Demand by customer,18.18
2019-02-09,Demand by supplier,10.35
2019-02-09,Demand by retailer,12.61
2019-02-09,Demand by customer,18.14
2019-02-10,Demand by supplier,10.08
2019-02-10,Demand by retailer,12.31
2019-02-10,Demand by customer,13.13
2019-02-11,Demand by supplier,11.63
2019-02-11,Demand by retailer,10.74
2019-02-11,Demand by customer,4.48
2019-02-12,Demand by supplier,10.98
2019-02-12,Demand by retailer,6.36
2019-02-12,Demand by customer,0.00
2019-02-13,Demand by supplier,7.70
2019-02-13,Demand by retailer,1.91
2019-02-13,Demand by customer,17.85
2019-02-14,Demand by supplier,3.60
2019-02-14,Demand by retailer,13.07
2019-02-14,Demand by customer,13.20
2019-02-15,Demand by supplier,10.22
2019-02-15,Demand by retailer,13.16
2019-02-15,Demand by customer,3.44
2019-02-16,Demand by supplier,12.27
2019-02-16,Demand by retailer,6.35
2019-02-16,Demand by customer,6.46
2019-02-17,Demand by supplier,8.09
2019-02-17,Demand by retailer,6.43
2019-02-17,Demand by customer,6.86
2019-02-18,Demand by supplier,6.88
2019-02-18,Demand by retailer,10.69
2019-02-18,Demand by customer,0.00
2019-02-19,Demand by supplier,10.32
2019-02-19,Demand by retailer,11.09
2019-02-19,Demand by customer,11.76
2019-02-20,Demand by supplier,10.84
2019-02-20,Demand by retailer,11.56
2019-02-20,Demand by customer,4.49
2019-02-21,Demand by supplier,11.33
2019-02-21,Demand by retailer,8.17
2019-02-21,Demand by customer,7.94
2019-02-22,Demand by supplier,9.10
2019-02-22,Demand by retailer,10.59
2019-02-22,Demand by customer,15.18
2019-02-23,Demand by supplier,11.46
2019-02-23,Demand by retailer,13.80
2019-02-23,Demand by customer,9.33
2019-02-24,Demand by supplier,12.16
2019-02-24,Demand by retailer,11.62
2019-02-24,Demand by customer,13.80
2019-02-25,Demand by supplier,11.56
2019-02-25,Demand by retailer,13.34
2019-02-25,Demand by customer,12.96
2019-02-26,Demand by supplier,9.83
2019-02-26,Demand by retailer,15.07
2019-02-26,Demand by customer,10.22
2019-02-27,Demand by supplier,10.98
2019-02-27,Demand by retailer,12.77
2019-02-27,Demand by customer,10.34
2019-02-28,Demand by supplier,11.80
2019-02-28,Demand by retailer,11.50
2019-02-28,Demand by customer,23.03
2019-03-01,Demand by supplier,11.57
2019-03-01,Demand by retailer,12.34
2019-03-01,Demand by customer,8.81
2019-03-02,Demand by supplier,10.39
2019-03-02,Demand by retailer,11.58
2019-03-02,Demand by customer,21.39
2019-03-03,Demand by supplier,10.79
2019-03-03,Demand by retailer,12.02
2019-03-03,Demand by customer,3.60
2019-03-04,Demand by supplier,11.48
2019-03-04,Demand by retailer,6.28
2019-03-04,Demand by customer,15.11
2019-03-05,Demand by supplier,7.80
2019-03-05,Demand by retailer,12.46
2019-03-05,Demand by customer,11.20
2019-03-06,Demand by supplier,11.05
2019-03-06,Demand by retailer,11.58
2019-03-06,Demand by customer,4.90
2019-03-07,Demand by supplier,11.40
2019-03-07,Demand by retailer,6.90
2019-03-07,Demand by customer,0.00
2019-03-08,Demand by supplier,8.21
2019-03-08,Demand by retailer,2.07
2019-03-08,Demand by customer,21.16
2019-03-09,Demand by supplier,3.87
2019-03-09,Demand by retailer,15.44
2019-03-09,Demand by customer,1.91
2019-03-10,Demand by supplier,11.99
2019-03-10,Demand by retailer,5.97
2019-03-10,Demand by customer,3.26
2019-03-11,Demand by supplier,7.74
2019-03-11,Demand by retailer,6.08
2019-03-11,Demand by customer,10.91
2019-03-12,Demand by supplier,6.54
2019-03-12,Demand by retailer,10.07
2019-03-12,Demand by customer,10.40
2019-03-13,Demand by supplier,8.99
2019-03-13,Demand by retailer,11.59
2019-03-13,Demand by customer,11.95
2019-03-14,Demand by supplier,12.09
2019-03-14,Demand by retailer,11.84
2019-03-14,Demand by customer,8.22
2019-03-15,Demand by supplier,11.90
2019-03-15,Demand by retailer,9.31
2019-03-15,Demand by customer,0.00
2019-03-16,Demand by supplier,8.78
2019-03-16,Demand by retailer,9.60
2019-03-16,Demand by customer,16.07
2019-03-17,Demand by supplier,11.14
2019-03-17,Demand by retailer,14.56
2019-03-17,Demand by customer,3.67
2019-03-18,Demand by supplier,11.82
2019-03-18,Demand by retailer,8.66
2019-03-18,Demand by customer,11.56
2019-03-19,Demand by supplier,9.58
2019-03-19,Demand by retailer,10.69
2019-03-19,Demand by customer,14.02
2019-03-20,Demand by supplier,10.34
2019-03-20,Demand by retailer,13.02
2019-03-20,Demand by customer,18.28
2019-03-21,Demand by supplier,11.83
2019-03-21,Demand by retailer,14.17
2019-03-21,Demand by customer,8.47
2019-03-22,Demand by supplier,11.83
2019-03-22,Demand by retailer,11.83
2019-03-22,Demand by customer,7.86
2019-03-23,Demand by supplier,10.24
2019-03-23,Demand by retailer,10.63
2019-03-23,Demand by customer,8.37
2019-03-24,Demand by supplier,10.29
2019-03-24,Demand by retailer,9.25
2019-03-24,Demand by customer,0.00
2019-03-25,Demand by supplier,9.54
2019-03-25,Demand by retailer,2.78
2019-03-25,Demand by customer,4.72
2019-03-26,Demand by supplier,4.77
2019-03-26,Demand by retailer,5.05
2019-03-26,Demand by customer,2.97
2019-03-27,Demand by supplier,4.93
2019-03-27,Demand by retailer,8.26
2019-03-27,Demand by customer,1.95
2019-03-28,Demand by supplier,7.23
2019-03-28,Demand by retailer,8.80
2019-03-28,Demand by customer,11.17
2019-03-29,Demand by supplier,8.30
2019-03-29,Demand by retailer,10.46
2019-03-29,Demand by customer,7.82
2019-03-30,Demand by supplier,9.79
2019-03-30,Demand by retailer,11.48
2019-03-30,Demand by customer,21.17
2019-03-31,Demand by supplier,10.87
2019-03-31,Demand by retailer,18.36
2019-03-31,Demand by customer,20.42
2019-04-01,Demand by supplier,9.74
2019-04-01,Demand by retailer,18.95
2019-04-01,Demand by customer,0.00
2019-04-02,Demand by supplier,11.35
2019-04-02,Demand by retailer,13.14
2019-04-02,Demand by customer,10.86
2019-04-03,Demand by supplier,11.56
2019-04-03,Demand by retailer,13.89
2019-04-03,Demand by customer,2.99
2019-04-04,Demand by supplier,11.08
2019-04-04,Demand by retailer,10.62
2019-04-04,Demand by customer,13.89
2019-04-05,Demand by supplier,10.13
2019-04-05,Demand by retailer,13.52
2019-04-05,Demand by customer,11.11
2019-04-06,Demand by supplier,10.98
2019-04-06,Demand by retailer,13.35
2019-04-06,Demand by customer,16.51
2019-04-07,Demand by supplier,11.39
2019-04-07,Demand by retailer,13.89
2019-04-07,Demand by customer,12.18
2019-04-08,Demand by supplier,11.18
2019-04-08,Demand by retailer,12.99
2019-04-08,Demand by customer,15.33
2019-04-09,Demand by supplier,10.44
2019-04-09,Demand by retailer,13.51
2019-04-09,Demand by customer,7.91
2019-04-10,Demand by supplier,10.82
2019-04-10,Demand by retailer,11.36
2019-04-10,Demand by customer,0.00
2019-04-11,Demand by supplier,11.18
2019-04-11,Demand by retailer,3.41
2019-04-11,Demand by customer,1.70
2019-04-12,Demand by supplier,5.71
2019-04-12,Demand by retailer,2.22
2019-04-12,Demand by customer,4.02
2019-04-13,Demand by supplier,3.23
2019-04-13,Demand by retailer,6.57
2019-04-13,Demand by customer,6.57
2019-04-14,Demand by supplier,5.53
2019-04-14,Demand by retailer,10.48
2019-04-14,Demand by customer,2.91
2019-04-15,Demand by supplier,8.98
2019-04-15,Demand by retailer,10.86
2019-04-15,Demand by customer,21.43
2019-04-16,Demand by supplier,10.28
2019-04-16,Demand by retailer,18.26
2019-04-16,Demand by customer,8.82
2019-04-17,Demand by supplier,11.57
2019-04-17,Demand by retailer,16.00
2019-04-17,Demand by customer,19.07
2019-04-18,Demand by supplier,9.51
2019-04-18,Demand by retailer,19.36
2019-04-18,Demand by customer,7.63
2019-04-19,Demand by supplier,11.96
2019-04-19,Demand by retailer,17.68
2019-04-19,Demand by customer,21.58
2019-04-20,Demand by supplier,10.82
2019-04-20,Demand by retailer,17.82
2019-04-20,Demand by customer,1.60
2019-04-21,Demand by supplier,11.39
2019-04-21,Demand by retailer,10.84
2019-04-21,Demand by customer,14.20
2019-04-22,Demand by supplier,10.06
2019-04-22,Demand by retailer,14.12
2019-04-22,Demand by customer,0.69
2019-04-23,Demand by supplier,11.39
2019-04-23,Demand by retailer,6.91
2019-04-23,Demand by customer,13.09
2019-04-24,Demand by supplier,8.22
2019-04-24,Demand by retailer,11.24
2019-04-24,Demand by customer,21.11
2019-04-25,Demand by supplier,10.32
2019-04-25,Demand by retailer,15.38
2019-04-25,Demand by customer,0.00
2019-04-26,Demand by supplier,13.00
2019-04-26,Demand by retailer,5.49
2019-04-26,Demand by customer,3.90
2019-04-27,Demand by supplier,7.71
2019-04-27,Demand by retailer,4.38
2019-04-27,Demand by customer,11.72
2019-04-28,Demand by supplier,5.34
2019-04-28,Demand by retailer,9.51
2019-04-28,Demand by customer,8.70
2019-04-29,Demand by supplier,8.24
